<s>  </s>
<s> NNP </s>
<s> NNP </s>
<s> , </s>
<s> CD </s>
<s> NNS </s>
<s> JJ </s>
<s> , </s>
<s> MD </s>
<s> VB </s>
<s> DT </s>
<s> NN </s>
<s> IN </s>
<s> DT </s>
<s> JJ </s>
<s> NN </s>
<s> NNP </s>
<s> CD </s>
<s> . </s>
<s>  </s>
<s> NNP </s>
<s> NNP </s>
<s> VBZ </s>
<s> NN </s>
<s> IN </s>
<s> NNP </s>
<s> NNP </s>
<s> , </s>
<s> DT </s>
<s> NNP </s>
<s> VBG </s>
<s> NN </s>
<s> . </s>
<s>  </s>
<s> NNP </s>
<s> NNP </s>
<s> , </s>
<s> CD </s>
<s> NNS </s>
<s> JJ </s>
<s> CC </s>
<s> JJ </s>
<s> NN </s>
<s> IN </s>
<s> NNP </s>
<s> NNP </s>
<s> NNP </s>
<s> NNP </s>
<s> , </s>
<s> VBD </s>
<s> VBN </s>
<s> -NONE- </s>
<s> DT </s>
<s> JJ </s>
<s> NN </s>
<s> IN </s>
<s> DT </s>
<s> JJ </s>
<s> JJ </s>
<s> NN </s>
<s> . </s>
<s>  </s>
<s> DT </s>
<s> NN </s>
<s> IN </s>
<s> NN </s>
<s> RB </s>
<s> VBN </s>
<s> -NONE- </s>
<s> -NONE- </s>
<s> TO </s>
<s> VB </s>
<s> NNP </s>
<s> NN </s>
<s> NNS </s>
<s> VBZ </s>
<s> VBN </s>
<s> DT </s>
<s> JJ </s>
<s> NN </s>
<s> IN </s>
<s> NN </s>
<s> NNS </s>
<s> IN </s>
<s> DT </s>
<s> NN </s>
<s> IN </s>
<s> NNS </s>
<s> VBN </s>
<s> -NONE- </s>
<s> TO </s>
<s> PRP </s>
<s> RBR </s>
<s> IN </s>
<s> CD </s>
<s> NNS </s>
<s> IN </s>
<s> , </s>
<s> NNS </s>
<s> VBD </s>
<s> -NONE- </s>
<s> -NONE- </s>
<s> . </s>
<s>  </s>
<s> DT </s>
<s> NN </s>
<s> NN </s>
<s> , </s>
<s> NN </s>
<s> , </s>
<s> VBZ </s>
<s> RB </s>
<s> JJ </s>
<s> IN </s>
<s> PRP </s>
<s> VBZ </s>
<s> DT </s>
<s> NNS </s>
<s> , </s>
<s> IN </s>
<s> RB </s>
<s> JJ </s>
<s> NNS </s>
<s> TO </s>
<s> PRP </s>
<s> VBG </s>
<s> NNS </s>
<s> WDT </s>
<s> -NONE- </s>
<s> VBP </s>
<s> RP </s>
<s> NNS </s>
<s> JJ </s>
<s> , </s>
<s> NNS </s>
<s> VBD </s>
<s> -NONE- </s>
<s> -NONE- </s>
<s> . </s>
<s>  </s>
<s> NNP </s>
<s> NNP </s>
<s> , </s>
<s> DT </s>
<s> NN </s>
<s> IN </s>
<s> JJ </s>
<s> JJ </s>
<s> NNP </s>
<s> NNP </s>
<s> WDT </s>
<s> -NONE- </s>
<s> VBZ </s>
<s> NNP </s>
<s> NNS </s>
<s> , </s>
<s> VBD </s>
<s> VBG </s>
<s> NN </s>
<s> IN </s>
<s> PRP$ </s>
<s> NN </s>
<s> NN </s>
<s> NNS </s>
<s> IN </s>
<s> CD </s>
<s> . </s>
<s>  </s>
<s> IN </s>
<s> JJ </s>
<s> NNS </s>
<s> VBD </s>
<s> VBN </s>
<s> -NONE- </s>
<s> RBR </s>
<s> IN </s>
<s> DT </s>
<s> NN </s>
<s> IN </s>
<s> , </s>
<s> DT </s>
<s> JJS </s>
<s> NNS </s>
<s> VBP </s>
<s> IN </s>
<s> NN </s>
<s> POS </s>
<s> NNP </s>
<s> NNP </s>
<s> NNP </s>
<s> IN </s>
<s> NNP </s>
<s> , </s>
<s> DT </s>
<s> NN </s>
<s> JJ </s>
<s> -NONE- </s>
<s> TO </s>
<s> VB </s>
<s> JJ </s>
<s> NN </s>
<s> TO </s>
<s> DT </s>
<s> NN </s>
<s> . </s>
<s>  </s>
<s> DT </s>
<s> NNP </s>
<s> NN </s>
<s> VBD </s>
<s> , </s>
<s> `` </s>
<s> DT </s>
<s> VBZ </s>
<s> DT </s>
<s> JJ </s>
<s> NN </s>
<s> . </s>
<s>  </s>
<s> PRP </s>
<s> VBP </s>
<s> VBG </s>
<s> IN </s>
<s> NNS </s>
<s> IN </s>
<s> IN </s>
<s> NN </s>
<s> VBD </s>
<s> IN </s>
<s> NN </s>
<s> VBG </s>
<s> DT </s>
<s> JJ </s>
<s> NNS </s>
<s> . </s>
<s>  </s>
<s> EX </s>
<s> VBZ </s>
<s> DT </s>
<s> NN </s>
<s> IN </s>
<s> PRP$ </s>
<s> NNS </s>
<s> RB </s>
<s> . </s>
<s> '' </s>
<s>  </s>
<s> DT </s>
<s> NNP </s>
<s> CC </s>
<s> DT </s>
<s> NNS </s>
<s> WP </s>
<s> -NONE- </s>
<s> VBD </s>
<s> DT </s>
<s> NNS </s>
<s> VBD </s>
<s> JJ </s>
<s> IN </s>
<s> DT </s>
<s> NN </s>
<s> IN </s>
<s> NNS </s>
<s> IN </s>
<s> DT </s>
<s> NNP </s>
<s> NNS </s>
<s> . </s>
<s>  </s>
<s> `` </s>
<s> PRP </s>
<s> VBP </s>
<s> DT </s>
<s> JJ </s>
<s> NN </s>
<s> IN </s>
<s> IN </s>
<s> NNS </s>
<s> VBP </s>
<s> IN </s>
<s> NN </s>
<s> , </s>
<s> '' </s>
<s> VBD </s>
<s> -NONE- </s>
<s> NNP </s>
<s> NNP </s>
<s> NNP </s>
<s> IN </s>
<s> NNP </s>
<s> POS </s>
<s> NNP </s>
<s> NNP </s>
<s> NNP </s>
<s> . </s>
<s>  </s>
<s> NNP </s>
<s> NNP </s>
<s> VBD </s>
<s> DT </s>
<s> NN </s>
<s> IN </s>
<s> NNS </s>
<s> IN </s>
<s> DT </s>
<s> NNP </s>
<s> NNP </s>
<s> NNP </s>
<s> CC </s>
<s> DT </s>
<s> JJ </s>
<s> NNS </s>
<s> IN </s>
<s> NNP </s>
<s> NNP </s>
<s> CC </s>
<s> NNP </s>
<s> NNP </s>
<s> . </s>
<s>  </s>
<s> DT </s>
<s> NNP </s>
<s> NN </s>
<s> VBD </s>
<s> -NONE- </s>
<s> NN </s>
<s> VBD </s>
<s> VBN </s>
<s> -NONE- </s>
<s> IN </s>
<s> `` </s>
<s> RB </s>
<s> JJ </s>
<s> NNS </s>
<s> '' </s>
<s> IN </s>
<s> -NONE- </s>
<s> VBG </s>
<s> NN </s>
<s> IN </s>
<s> DT </s>
<s> NNS </s>
<s> IN </s>
<s> DT </s>
<s> JJ </s>
<s> CD </s>
<s> CC </s>
<s> VBN </s>
<s> -NONE- </s>
<s> IN </s>
<s> DT </s>
<s> JJ </s>
<s> NN </s>
<s> IN </s>
<s> NN </s>
<s> IN </s>
<s> CD </s>
<s> . </s>
<s>  </s>
<s> IN </s>
<s> CD </s>
<s> TO </s>
<s> CD </s>
<s> , </s>
<s> CD </s>
<s> CD </s>
<s> NNP </s>
<s> NNS </s>
<s> IN </s>
<s> DT </s>
<s> NNS </s>
<s> VBD </s>
<s> VBN </s>
<s> -NONE- </s>
<s> , </s>
<s> DT </s>
<s> NN </s>
<s> VBD </s>
<s> -NONE- </s>
<s> -NONE- </s>
<s> . </s>
<s>  </s>
<s> IN </s>
<s> CD </s>
<s> NNS </s>
<s> WP </s>
<s> -NONE- </s>
<s> VBD </s>
<s> RB </s>
<s> IN </s>
<s> DT </s>
<s> NN </s>
<s> , </s>
<s> CD </s>
<s> -NONE- </s>
<s> VBP </s>
<s> VBN </s>
<s> : </s>
<s> JJ </s>
<s> IN </s>
<s> CD </s>
<s> NNS </s>
<s> DT </s>
<s> VBN </s>
<s> NN </s>
<s> . </s>
<s>  </s>
<s> CD </s>
<s> IN </s>
<s> DT </s>
<s> CD </s>
<s> VBG </s>
<s> NNS </s>
<s> VBP </s>
<s> JJ </s>
<s> NNS </s>
<s> , </s>
<s> VBG </s>
<s> CD </s>
<s> IN </s>
<s> RB </s>
<s> VBN </s>
<s> NN </s>
<s> . </s>
<s>  </s>
<s> DT </s>
<s> NN </s>
<s> IN </s>
<s> CD </s>
<s> NNS </s>
<s> IN </s>
<s> JJ </s>
<s> NN </s>
<s> , </s>
<s> NN </s>
<s> NN </s>
<s> CC </s>
<s> NN </s>
<s> VBD </s>
<s> RB </s>
<s> JJR </s>
<s> IN </s>
<s> -NONE- </s>
<s> VBN </s>
<s> -NONE- </s>
<s> , </s>
<s> DT </s>
<s> NNS </s>
<s> VBD </s>
<s> -NONE- </s>
<s> -NONE- </s>
<s> . </s>
<s>  </s>
<s> `` </s>
<s> DT </s>
<s> NN </s>
<s> NN </s>
<s> VBZ </s>
<s> DT </s>
<s> JJ </s>
<s> NN </s>
<s> IN </s>
<s> DT </s>
<s> IN </s>
<s> PRP </s>
<s> WP </s>
<s> -NONE- </s>
<s> VBP </s>
<s> JJ </s>
<s> NNS </s>
<s> , </s>
<s> '' </s>
<s> VBD </s>
<s> -NONE- </s>
<s> NNP </s>
<s> NNP </s>
<s> . </s>
<s>  </s>
<s> DT </s>
<s> NN </s>
<s> IN </s>
<s> NN </s>
<s> NN </s>
<s> NNS </s>
<s> IN </s>
<s> DT </s>
<s> NNS </s>
<s> IN </s>
<s> DT </s>
<s> NNP </s>
<s> NNP </s>
<s> , </s>
<s> NNP </s>
<s> , </s>
<s> NN </s>
<s> NN </s>
<s> VBZ </s>
<s> -NONE- </s>
<s> TO </s>
<s> VB </s>
<s> DT </s>
<s> JJS </s>
<s> IN </s>
<s> DT </s>
<s> NN </s>
<s> NNS </s>
<s> VBN </s>
<s> -NONE- </s>
<s> IN </s>
<s> JJ </s>
<s> VBN </s>
<s> NNS </s>
<s> , </s>
<s> PRP </s>
<s> VBD </s>
<s> -NONE- </s>
<s> -NONE- </s>
<s> . </s>
<s>  </s>
<s> DT </s>
<s> NN </s>
<s> , </s>
<s> WDT </s>
<s> -NONE- </s>
<s> VBZ </s>
<s> VBN </s>
<s> -NONE- </s>
<s> IN </s>
<s> NNP </s>
<s> CC </s>
<s> NNP </s>
<s> NNP </s>
<s> , </s>
<s> VBD </s>
